,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
289,47222,0.9954545454545455,24408.0,34914.95,1,1157,3,1.5,23646.141552511417,11293.0
290,46869,0.9987538940809969,21836.0,36352.8,1,979,12,1.5,22623.54023705552,9015.6
291,49583,0.9975201487910725,23733.0,35689.3,1,1094,2,1.5,24245.621504039776,11879.6
292,43920,0.999439461883408,20850.0,31800.800000000003,1,1040,20,1.5,21573.280987100392,10572.4
293,45820,0.9979494190020506,23401.0,33386.85,1,1000,17,1.5,23570.53287671233,13914.7
294,49127,0.9972466960352423,23564.0,38328.2,1,1166,33,1.5,24711.41468801767,13146.8
295,46686,0.9947089947089947,23785.0,36260.55,1,1089,2,1.5,23647.294917257685,10751.8
296,48119,0.996704021094265,19473.0,34965.299999999996,1,928,21,1.5,22086.70105820106,9697.35
297,43115,0.9972051425377306,22039.0,32912.2,1,1051,11,1.5,21150.456278026904,9594.7
298,42426,0.9982445874780573,21530.5,32644.649999999998,1,993,68,1.5,21546.15943728019,10047.7
299,48910,0.9959112149532711,25497.0,37279.0,1,1125,58,1.5,25078.618768328444,14967.799999999997
300,16797,0.9963162368943044,5528.0,10231.300000000001,2,743,3,1.5,6896.166951080773,3742.0
301,20455,0.9944717444717445,7157.0,14637.750000000004,2,915,2,1.5,8969.530883261272,4852.85
302,17599,0.9970904858888565,6083.0,8666.6,2,686,6,1.5,6212.027721038809,1951.8000000000002
303,13513,0.9962628464652756,7550.0,10052.0,2,588,28,1.5,6886.953735542357,3558.6000000000004
304,14143,0.9952620669233047,8295.0,10490.2,2,629,7,1.5,7313.546563522761,4800.7
305,15127,0.9979234648472264,6769.0,10725.0,2,665,3,1.5,7464.8427467300835,4492.9
306,20617,0.9965217391304347,9848.5,15304.000000000004,2,934,4,1.5,9746.570971495055,5275.0
307,21902,0.9936208991494532,11745.0,15524.8,2,937,4,1.5,11261.182818709874,5687.2
308,20217,0.9944959443800695,9510.0,13702.600000000002,2,870,1,1.5,9695.459364986891,5666.700000000001
