,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
148,1,9333.5,16091.550000000003,1056,5043.05,21077,10203.098518850988,1.5,2,0.9979843225083986
149,1,14081.0,22070.550000000003,1440,4549.900000000001,28249,13295.415645617342,1.5,2,0.9851439182915506
150,1,7506.0,16025.2,1232,4698.8,22561,9862.988789750629,1.5,2,0.9968072976054732
151,33,9645.0,11181.0,785,5802.800000000001,18032,9051.127370639195,1.5,2,0.9965002333177788
152,2,15793.0,21854.800000000003,1493,6504.2,29230,14587.88,1.5,2,0.9979470802919708
153,8,9038.0,16884.0,1065,4122.950000000001,20245,10158.449648711943,1.5,2,0.9925615992561599
154,5,15707.0,19636.5,1298,6986.6,25729,13825.57778808254,1.5,2,0.9969949144706426
155,7,14053.0,21645.300000000003,1429,6346.0,29417,14468.763212554812,1.5,2,0.9970087436723424
156,8,14911.0,21338.600000000002,1405,7157.400000000001,27710,14377.953445494353,1.5,2,0.9944991977996791
157,9,13333.0,18530.0,1268,6373.0,24691,12722.857110352674,1.5,2,0.9965986394557823
158,3,9508.5,17674.65,1149,5492.9,22423,11101.045880149813,1.5,2,0.9886600323999074
159,5,13290.0,19717.0,1298,5369.0,25158,12605.264048747462,1.5,2,0.9975236380009005
160,1,1472.0,2592.0,366,501.95000000000005,4847,1749.3517312307165,1.5,3,0.9551407989521938
161,1,4411.5,6456.150000000001,518,1767.0,7770,4209.828993892639,1.5,3,0.9942473633748802
162,1,2358.5,4895.1,510,668.0,7164,2728.2137457044673,1.5,3,0.9545678202394621
163,1,6253.5,9008.0,723,3049.95,9795,5939.942833052277,1.5,3,0.9759710335747203
164,1,4714.0,6279.0,774,1864.8000000000002,10328,4328.8291000841045,1.5,3,0.9725175854735809
165,4,5452.0,5906.8,588,2343.4,7099,4411.026146860811,1.5,3,0.9896188410288194
166,1,472.5,1027.0,242,124.0,3075,714.8094963475586,1.5,3,0.8818443804034583
167,1,1887.0,2564.0,266,1123.0,3751,1822.4356581532415,1.5,3,0.970602256475449
168,1,1202.0,1691.0,212,748.0,2705,1240.0835439039797,1.5,3,0.989838987025168
169,1,2862.5,3787.0,540,742.95,6703,2712.359317497491,1.5,3,0.9617117117117117
170,1,1338.0,3583.55,418,846.0,5450,2202.945624603678,1.5,3,0.9963670826093824
171,1,3564.0,4760.1,446,2907.95,5935,3500.7676298589613,1.5,3,0.9551503203548546
172,1,1868.5,2523.0,285,1044.95,3848,1821.2491183071497,1.5,3,0.9823622047244095
173,1,2979.5,3962.55,396,1543.0,5326,2768.9454545454546,1.5,3,0.9832402234636871
174,1,3291.0,4485.6,523,1054.0,7484,3040.570024979184,1.5,3,0.9586526181353767
175,1,631.0,1197.0,302,120.0,3983,866.0694586312563,1.5,3,0.8756708407871199
176,1,2647.5,5732.0,565,853.0,7784,3182.261003236246,1.5,3,0.978002848551986
177,1,990.0,1712.0,257,503.0,3491,1137.697212543554,1.5,3,0.9473510480277273
178,1,2883.0,3356.3,344,2387.7,4256,2732.287534268666,1.5,3,0.9885222381635581
179,1,460.0,772.0,162,190.0,2010,551.0624640735773,1.5,3,0.882631489937426
180,21,28044.0,41246.6,1424,13144.400000000001,53482,27563.57768744354,2.0,1,0.9990974729241877
181,5,28354.0,43602.85,1539,14980.3,57564,28809.58922413793,2.0,1,0.9991386735572783
182,11,28348.0,44141.1,1562,13494.2,58789,28888.960383108402,2.0,1,0.9991300565463245
183,14,27429.0,41299.399999999994,1476,11749.400000000001,55239,26966.43843843844,2.0,1,0.9987146529562982
184,11,25421.0,38641.6,1433,12627.6,54620,26017.267912772586,2.0,1,0.9973368841544608
185,30,26861.0,43115.799999999996,1524,12924.8,58786,28017.724696356276,2.0,1,0.9986522911051213
186,8,29791.0,41050.6,1446,15545.000000000002,55653,28568.194231635873,2.0,1,0.9995495495495496
187,22,28704.0,42423.799999999996,1451,13798.2,55878,28626.548358074673,2.0,1,0.9986522911051213
188,4,25754.0,42804.4,1417,13570.2,55097,27178.018625277164,2.0,1,0.9982293050022134
